Name,Lat,Long,YearDates,Address,Date,Motivation,Tactic
Arthur Gaeth Lecture,40.3470425,-79.8645825,1946,"410 9th Street, McKeesport",10/30/1946,Nazism,Educational
Free Speech Fight,40.3878461,-79.8735258,1912,Kennywood Park,1912,Political repression,Direct action
South Hills Association for Racial Equality,40.4089275,-80.0526685,1964,1146 Greentree Road,1964,Anti-black racism,Organization
A.W. Robertson's Nightmare,40.420567,-79.894435,1946,East Pittsburgh,1946,Political repression,Cultural
Highland Park Pool Integration,40.4829973,-79.9126035,1948-1952,"Pool Grove Shelter, Lake Drive",1948-1952,Anti-black racism,Direct action
May Day Strike,40.442704,-79.995843,1916,Allegheny County,5/1/1916,Political repression,Direct action
National Conference of Christians and Jews,40.4421713,-80.0014721,1927-1998,"Granite Building, Sixth Avenue",1927-1998,Anti-semitism,Religious
ACLU Rally,40.4403263,-79.9851001,1920,Miller Street & Reed Street,4/11/1920,Political repression,Demonstration
Protest Against Pilsudsky Terror and Organized Pogroms,40.4366963,-79.9469441,1929,Schenley Park,1/24/1929,Anti-semitism,Demonstration
Socialist Activity and Repression in Homewood,40.4555167,-79.8992014,1909-1912,Kelly Street & North Homewood Ave,1909-1912,Political repression,Mass meeting
American League against War and Fascism Address,40.4720146,-79.9261856,1933-1937,830 Mellon St,1933-1937,Nazism,Organization
Committee for a Boycott against Japanese Aggression Address,40.437295,-79.9228491,1937-1939,5855 Darlington Road,1937-1939,Japanese imperialism,Boycott
Mr. Robert Norton Talk,40.4498269,-79.9318375,1939,Fifth Avenue & South Negley Avenue,4/18/1939,Japanese imperialism,Boycott
Mercy on Wheels,40.4273441,-79.9835178,1938,1721 Jane Street,9/16/1938,Spanish nationalism,Educational
No Room for Hitlerism in Oakland,40.4414124,-79.9586581,1935,209 Oakland Ave,1935,Anti-semitism,Educational
Stop the Runaway Japanese Army!,40.4433333,-79.9532998,1938,"Carnegie Music Hall, Forbes",1/14/1938,Japanese imperialism,Boycott
Henri Barbusse Lecture,40.4454493,-79.9528483,1933,Bellefield Hall,10/12/1933,Nazism,Educational
Huge Anti-Nazi Protest meeting,40.4454493,-79.9528483,1935,Bellefield Hall,9/30/1935,Nazism,Demonstration
Major Carlson Community Forum,40.4502988,-79.9567412,1940,Schenley High School,1/15/1940,Japanese imperialism,Mass meeting
Anti-Nazi Federation of Pittsburgh Address,40.451281,-79.9551707,1935-1940,4504 Centre Ave,1935-1940,Nazism,Organization
Keep America Out of War,40.4530444,-80.0072609,1940,New Hazlett Theatre,4/6/1940,War,Mass meeting
The Flaherty Brothers,40.4530444,-80.0072609,1937,New Hazlett Theatre,9/20/1937,Spanish nationalism,Educational
In Defense of our Civil Rights: A Public Protest Meeting,40.4530444,-80.0072609,1935,New Hazlett Theatre,9/17/1935,Political repression,Demonstration
Can We Prevent Fascism?,40.4530444,-80.0072609,1935,New Hazlett Theatre,4/19/1935,Nazism,Demonstration
CPUSA 5th District Office,40.4453761,-79.9779947,1933,2203 Centre Ave,1933,Capitalism,Organization
Special Notice: Letter from Pittsburgh City CP,40.4453761,-79.9779947,1934,2203 Centre Ave,1934,Capitalism,Educational
Hugo Oehler Speech,40.4432057,-79.983835,1933,1839 Centre Ave,2/19/1933,Nazism,Educational
Pittsburgh Greets Scottsboro Boys,40.4426997,-79.9893853,1937,1206 Wylie Ave,12/1/1937,Anti-black racism,Legal defense
CP Western Pennsylvania Office,40.4388326,-79.9935554,1935-1940,929 Fifth Avenue,1935-1940,Capitalism,Organization
Anti-War Mass Meeting,40.4380777,-79.9830302,1935,1800 Fifth Avenue,9/12/1935,War,Mass meeting
They Shall Not Die Mass Meeting,40.4380777,-79.9830302,1934,1800 Fifth Avenue,3/23/1934,Anti-black racism,Legal defense
Angelo Herndon Again Condemned to a Living Death,40.4380777,-79.9830302,1935,1800 Fifth Avenue,5/31/1935,Anti-black racism,Legal defense
